PLAYER_ID,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PIE,SEASON
203893,94.3,78.7,15.6,0.216,0.67,15.7,0.013,0.068,0.039,23.5,0.36,0.488,0.029,14-15
201566,111.0,106.3,4.7,0.43,1.96,21.9,0.051,0.151,0.101,11.2,0.455,0.536,0.187,14-15
201583,107.3,108.4,-1.1,0.054,0.89,6.1,0.063,0.114,0.088,6.8,0.483,0.524,0.09,14-15
200797,97.7,103.0,-5.3,0.048,0.56,9.5,0.085,0.137,0.113,17.0,0.646,0.648,0.073,14-15
203527,101.3,107.4,-6.1,0.113,2.49,19.2,0.01,0.109,0.058,7.7,0.409,0.473,0.053,14-15
2223,92.4,108.3,-15.8,0.088,0.74,14.0,0.101,0.218,0.159,18.8,0.438,0.461,0.087,14-15
203930,105.4,93.9,11.5,0.082,2.0,14.3,0.017,0.078,0.049,7.1,0.45,0.506,0.065,14-15
2742,91.7,102.9,-11.2,0.29,2.5,22.3,0.006,0.088,0.046,8.9,0.44,0.479,0.096,14-15
201586,106.7,102.8,3.9,0.041,0.57,5.6,0.063,0.158,0.112,9.8,0.525,0.549,0.107,14-15
203508,103.1,101.4,1.7,0.123,1.92,20.8,0.041,0.078,0.06,10.9,0.463,0.508,0.062,14-15
203552,75.0,100.0,-25.0,0.2,0.0,25.0,0.0,0.286,0.125,0.0,0.0,0.0,-0.111,14-15
203498,102.0,110.9,-8.9,0.091,1.26,8.2,0.069,0.111,0.089,6.5,0.514,0.556,0.119,14-15
203894,99.7,101.9,-2.2,0.216,1.6,27.9,0.018,0.102,0.06,17.4,0.476,0.517,0.075,14-15
203499,96.0,106.7,-10.7,0.201,2.72,29.1,0.015,0.084,0.049,10.7,0.473,0.504,0.078,14-15
200769,104.1,112.9,-8.7,0.049,0.75,10.7,0.0,0.013,0.0,14.3,0.447,0.482,0.009,14-15
2733,101.4,100.4,1.0,0.267,2.54,32.5,0.03,0.088,0.061,12.8,0.5,0.529,0.1,14-15
101183,91.6,99.6,-8.0,0.051,1.33,8.3,0.101,0.182,0.136,6.3,0.257,0.298,0.033,14-15
1890,106.7,103.7,3.1,0.069,1.55,13.9,0.058,0.126,0.092,9.0,0.468,0.489,0.074,14-15
200761,102.4,107.5,-5.1,0.068,1.47,11.2,0.035,0.131,0.082,7.6,0.51,0.537,0.062,14-15
203963,109.8,102.8,7.0,0.094,1.2,9.4,0.094,0.178,0.136,7.8,0.464,0.547,0.106,14-15
