PLAYER_ID,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,SEASON
2734,1.4,0.8,0.6,4.16,4.44,3.86,15-16
203906,0.7,0.4,0.3,4.62,4.84,4.35,15-16
203473,0.8,0.4,0.4,4.2,4.5,3.92,15-16
203079,1.8,1.0,0.9,3.97,4.2,3.74,15-16
1717,2.0,1.0,0.9,3.74,3.91,3.55,15-16
202388,1.6,0.9,0.7,4.44,4.84,4.05,15-16
202700,1.1,0.6,0.5,4.49,4.8,4.21,15-16
203926,1.7,0.9,0.8,4.54,4.89,4.21,15-16
203110,2.3,1.2,1.1,3.92,4.41,3.49,15-16
2400,0.7,0.4,0.3,4.29,4.49,4.05,15-16
1626251,1.9,1.1,0.8,4.71,4.8,4.61,15-16
2730,2.1,1.1,1.0,3.87,4.13,3.63,15-16
203939,1.1,0.6,0.5,4.51,4.85,4.15,15-16
2548,2.1,1.1,0.9,4.06,4.34,3.75,15-16
202734,1.6,0.8,0.7,4.42,4.77,4.08,15-16
202334,1.4,0.8,0.7,4.2,4.44,3.95,15-16
204002,0.5,0.2,0.2,4.21,4.59,3.84,15-16
203901,2.3,1.2,1.1,4.6,4.88,4.33,15-16
202407,0.6,0.3,0.3,4.35,4.58,4.19,15-16
202343,0.7,0.3,0.3,4.52,4.6,4.19,15-16
1882,0.9,0.5,0.4,4.04,4.31,3.76,15-16
1626144,2.2,1.3,1.0,4.43,4.98,3.87,15-16
202683,1.5,0.8,0.7,4.32,4.75,3.89,15-16
202339,2.4,1.3,1.1,4.29,4.67,3.93,15-16
201569,2.3,1.2,1.1,4.2,4.67,3.75,15-16
203961,0.5,0.2,0.2,4.72,5.02,4.19,15-16
203475,0.3,0.2,0.1,4.42,4.67,4.12,15-16
101141,1.8,1.0,0.8,4.18,4.55,3.82,15-16
203095,2.4,1.3,1.1,4.49,4.97,4.02,15-16
202323,1.9,1.0,0.9,4.08,4.44,3.75,15-16
203105,1.2,0.6,0.6,4.37,4.83,3.97,15-16
1626163,1.6,0.9,0.7,4.49,5.02,3.94,15-16
202066,1.8,0.9,0.9,4.42,4.77,4.11,15-16
203914,2.3,1.2,1.1,4.25,4.53,3.98,15-16
202390,1.4,0.7,0.7,4.23,4.6,3.89,15-16
201588,2.4,1.3,1.1,4.21,4.54,3.88,15-16
101123,1.6,0.8,0.7,4.24,4.41,4.06,15-16
201945,1.4,0.8,0.6,4.35,4.66,4.03,15-16
203507,2.4,1.3,1.2,4.15,4.48,3.85,15-16
203922,0.9,0.5,0.4,4.54,4.81,4.25,15-16
201609,2.4,1.4,1.1,4.44,4.88,3.98,15-16
202330,2.6,1.5,1.1,4.26,4.64,3.84,15-16
203476,1.8,0.9,0.9,4.02,4.19,3.84,15-16
202328,1.9,1.0,1.0,3.94,3.99,3.91,15-16
202962,0.7,0.4,0.3,3.96,4.12,3.79,15-16
202349,1.5,0.8,0.7,4.38,4.77,3.99,15-16
203084,2.3,1.2,1.1,4.44,4.91,4.02,15-16
202355,1.9,1.0,0.9,3.92,4.05,3.78,15-16
203156,1.3,0.7,0.6,4.28,4.51,4.05,15-16
203138,2.0,1.1,0.9,4.37,4.59,4.14,15-16
203546,0.7,0.4,0.3,4.5,4.92,4.07,15-16
101133,1.7,0.9,0.8,4.09,4.32,3.87,15-16
202697,1.7,0.9,0.8,4.21,4.34,4.08,15-16
203477,1.8,1.0,0.8,4.17,4.37,3.96,15-16
202738,2.3,1.2,1.0,4.24,4.85,3.68,15-16
202397,2.2,1.2,1.0,4.64,5.19,4.11,15-16
200826,1.6,0.9,0.7,4.32,4.73,3.9,15-16
