PLAYER_ID,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,SEASON
1630568,18.3,12.0,0.5,1.57,0.56,0.314,0.9,0.5,3.7,21-22
1628379,35.3,24.8,1.2,2.08,1.14,0.337,0.5,0.0,0.4,21-22
1628436,8.9,6.2,0.2,1.31,0.35,0.224,0.7,0.3,2.4,21-22
1630640,8.0,4.5,0.3,2.41,1.44,0.0,0.0,0.0,0.0,21-22
1630644,21.5,12.0,1.2,3.27,3.12,0.186,1.0,0.0,1.0,21-22
1630201,25.2,11.6,1.7,4.14,3.48,0.171,0.0,0.0,0.3,21-22
1627763,80.0,36.3,5.8,4.33,4.06,0.239,0.4,0.1,1.0,21-22
1630792,10.8,6.2,0.4,1.96,0.97,0.351,0.5,0.0,0.7,21-22
1627736,32.1,21.8,1.1,1.98,1.17,0.375,0.4,0.0,0.4,21-22
1630238,5.9,2.9,0.2,2.13,0.96,0.236,0.1,0.0,0.1,21-22
1628370,45.3,25.8,2.0,2.7,2.1,0.304,0.5,0.0,1.4,21-22
1629005,17.0,11.0,1.2,4.27,3.41,0.471,0.0,0.0,0.0,21-22
1629603,24.5,12.8,0.6,1.37,0.3,0.176,1.3,0.2,4.3,21-22
1630585,11.2,4.4,0.6,3.05,2.53,0.097,0.4,0.0,0.8,21-22
202694,39.4,27.1,1.7,2.62,1.45,0.385,1.3,3.0,0.7,21-22
203935,65.2,28.4,4.0,3.68,3.04,0.186,0.6,0.9,1.1,21-22
1628365,48.4,12.8,4.6,5.76,5.72,0.224,0.7,1.2,0.8,21-22
202693,22.7,16.5,0.6,1.72,0.61,0.334,0.9,1.9,2.0,21-22
1630250,5.2,4.2,0.1,1.47,0.36,0.362,0.7,0.1,1.4,21-22
1630210,8.5,6.0,0.3,2.36,2.12,0.479,0.0,0.0,0.0,21-22
1627737,15.6,8.8,0.4,1.38,0.44,0.291,0.6,0.5,3.1,21-22
1628963,35.2,20.0,1.0,1.68,0.59,0.319,1.1,1.4,5.1,21-22
1630222,19.8,10.5,0.9,2.67,1.91,0.342,0.0,0.3,1.0,21-22
203486,40.2,25.4,1.3,1.94,0.96,0.163,3.2,1.2,6.7,21-22
1629680,21.9,13.5,0.5,1.28,0.54,0.262,0.3,0.0,2.4,21-22
1629760,7.0,1.0,0.6,5.36,4.43,0.0,0.0,0.0,0.0,21-22
1630346,9.0,8.0,0.2,1.25,0.56,0.333,0.0,0.0,0.0,21-22
1629744,13.9,8.3,0.5,2.05,1.14,0.289,0.1,0.0,0.2,21-22
203090,18.3,9.8,0.5,1.71,0.76,0.246,0.2,0.1,1.0,21-22
1629622,34.3,21.0,0.9,1.51,0.63,0.309,0.3,0.0,1.1,21-22
1628467,39.2,22.9,0.8,1.24,0.32,0.178,0.9,0.2,2.4,21-22
1630593,7.6,3.4,0.5,3.77,3.05,0.132,0.0,0.0,0.0,21-22
1628982,41.3,29.7,1.6,2.34,1.61,0.258,0.3,0.0,1.7,21-22
1630695,12.3,7.0,0.3,1.31,0.21,0.324,1.0,0.7,2.7,21-22
1629008,39.3,23.9,1.4,2.14,0.9,0.251,2.1,0.2,2.0,21-22
1628969,36.3,23.0,1.1,1.75,1.0,0.392,1.6,0.2,2.4,21-22
201144,65.4,28.8,5.4,4.99,4.6,0.21,0.2,0.0,0.4,21-22
203488,26.2,14.7,0.5,1.09,0.24,0.305,0.7,0.1,1.8,21-22
1628970,60.2,37.9,2.4,2.36,1.6,0.337,1.7,0.8,3.3,21-22
1630540,13.3,6.1,0.9,4.26,3.94,0.168,0.1,0.0,0.1,21-22
1629011,27.9,14.0,0.6,1.34,0.3,0.304,0.7,0.2,7.9,21-22
1629671,2.8,1.8,0.1,1.67,1.16,0.114,0.0,0.0,0.1,21-22
1628964,37.6,20.6,1.0,1.65,0.49,0.283,1.1,0.6,4.7,21-22
1628420,60.6,30.4,4.1,4.02,3.45,0.208,0.8,0.0,1.0,21-22
1626149,37.5,26.2,1.3,2.05,0.83,0.35,3.0,2.5,6.5,21-22
1629021,31.3,19.6,0.9,1.82,0.6,0.286,1.5,0.4,2.1,21-22
1629650,11.7,5.2,0.3,1.46,0.26,0.365,0.8,0.3,3.7,21-22
1630541,11.5,9.0,0.5,2.4,1.43,0.37,0.2,0.0,0.7,21-22
1630589,4.3,2.5,0.1,1.5,0.47,0.294,0.5,0.0,0.3,21-22
1628539,13.6,9.9,0.5,2.06,1.32,0.299,0.1,0.0,0.2,21-22
1629619,9.4,2.5,0.9,5.55,5.41,0.126,0.0,0.0,0.1,21-22
1626167,36.1,21.3,0.8,1.39,0.49,0.356,1.4,1.6,4.3,21-22
1630230,23.5,12.5,0.9,2.36,1.67,0.242,0.3,0.0,1.0,21-22
1629642,32.7,19.3,1.1,2.07,1.19,0.298,0.7,0.2,1.6,21-22
1630207,1.5,1.5,0.1,2.41,0.67,0.0,0.0,0.0,0.0,21-22
1630233,12.4,7.6,0.5,2.21,1.21,0.302,0.5,0.5,1.6,21-22
1629675,26.9,16.7,0.7,1.66,0.65,0.307,1.9,1.0,2.9,21-22
1629674,10.4,6.6,0.3,1.77,0.56,0.288,0.9,0.5,2.0,21-22
202357,32.8,19.7,1.0,1.91,0.82,0.185,0.9,0.9,2.4,21-22
203457,27.4,11.2,0.7,1.53,0.42,0.124,1.1,0.0,4.0,21-22
1629651,26.9,14.6,0.7,1.6,0.45,0.324,2.6,0.1,6.3,21-22
1630208,10.1,6.0,0.3,1.51,0.47,0.289,0.8,0.3,2.1,21-22
1629638,42.4,23.5,2.3,3.24,2.53,0.253,0.5,0.0,0.9,21-22
