PLAYER_ID,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_FG3A,PULL_UP_PTS,PULL_UP_EFG_PCT,SEASON
203099,0.1,0.4,0.2,0.1,0.2,0.2,13-14
201162,0.3,0.7,0.469,0.0,0.6,0.48,13-14
203096,0.5,1.5,0.358,0.1,1.1,0.358,13-14
101127,2.0,5.1,0.399,1.0,4.4,0.427,13-14
202363,0.0,0.1,0.333,,0.1,0.333,13-14
2215,0.0,0.1,0.333,0.0,0.1,0.333,13-14
101131,0.1,0.2,0.375,,0.2,0.375,13-14
201160,0.2,0.4,0.5,,0.4,0.5,13-14
1891,0.4,1.2,0.366,0.6,1.1,0.488,13-14
201574,0.1,0.3,0.455,,0.2,0.455,13-14
202399,0.1,0.5,0.28,,0.3,0.28,13-14
201965,0.0,0.0,0.333,,0.0,0.333,13-14
201145,1.2,4.2,0.291,1.3,2.8,0.33,13-14
201952,1.6,4.0,0.393,1.3,3.6,0.45,13-14
203481,0.0,0.0,,0.0,0.0,,13-14
203106,0.2,1.3,0.182,0.1,0.5,0.182,13-14
202379,0.1,0.3,0.4,0.0,0.2,0.4,13-14
203087,0.9,2.1,0.407,0.6,1.9,0.443,13-14
202391,0.8,2.5,0.345,0.9,1.9,0.394,13-14
202719,0.1,0.2,0.556,,0.2,0.556,13-14
979,0.2,0.4,0.368,,0.3,0.368,13-14
201573,1.5,3.8,0.386,0.6,3.1,0.408,13-14
202690,1.1,2.2,0.473,0.9,2.5,0.564,13-14
202710,0.7,2.2,0.32,0.4,1.5,0.33,13-14
201149,0.1,0.3,0.308,0.0,0.2,0.308,13-14
201975,0.9,2.6,0.351,1.2,2.3,0.433,13-14
2207,1.7,4.1,0.407,0.8,3.7,0.443,13-14
201202,0.0,0.1,0.25,,0.1,0.25,13-14
200777,0.0,0.1,0.0,0.0,0.0,0.0,13-14
203089,0.1,0.4,0.258,0.0,0.2,0.258,13-14
203098,0.2,0.3,0.5,0.2,0.4,0.625,13-14
101249,0.5,1.6,0.318,0.1,1.0,0.318,13-14
2422,0.8,2.1,0.364,0.2,1.6,0.377,13-14
202322,3.0,8.6,0.341,1.8,6.4,0.369,13-14
202720,0.2,0.4,0.409,0.0,0.4,0.409,13-14
201973,0.1,0.4,0.333,0.0,0.3,0.333,13-14
202685,0.0,0.1,0.6,0.0,0.1,0.6,13-14
202348,1.7,4.4,0.391,1.6,3.9,0.444,13-14
200770,1.4,3.7,0.377,1.6,3.5,0.47,13-14
202706,0.5,1.5,0.318,0.8,1.2,0.398,13-14
201941,0.1,0.3,0.227,0.0,0.1,0.227,13-14
203268,0.1,0.3,0.2,0.0,0.1,0.2,13-14
101181,1.5,3.6,0.421,1.0,3.4,0.473,13-14
2735,0.0,0.0,,,0.0,,13-14
202725,0.1,0.1,0.75,0.0,0.2,0.75,13-14
201177,0.2,0.4,0.4,0.1,0.4,0.443,13-14
2694,0.0,0.0,,,0.0,,13-14
2746,0.6,2.3,0.269,0.2,1.3,0.277,13-14
201950,2.6,6.2,0.412,1.4,5.6,0.455,13-14
202933,0.0,0.0,0.0,0.0,0.0,0.0,13-14
203120,0.0,0.0,,0.0,0.0,,13-14
202695,1.1,2.6,0.436,0.4,2.4,0.462,13-14
2586,0.0,0.0,,0.0,0.0,,13-14
203482,0.1,0.6,0.2,0.1,0.3,0.225,13-14
202689,2.8,7.4,0.381,1.5,6.2,0.418,13-14
203088,0.8,2.4,0.352,0.7,1.9,0.406,13-14
2570,0.0,0.1,0.0,0.0,0.0,0.0,13-14
202702,0.2,0.5,0.317,0.0,0.3,0.317,13-14
203145,0.7,1.9,0.364,1.0,1.7,0.446,13-14
203484,0.4,1.2,0.323,0.2,0.8,0.344,13-14
2030,0.0,0.0,0.0,0.0,0.0,0.0,13-14
201142,3.7,8.3,0.439,2.8,8.5,0.508,13-14
708,0.7,2.0,0.358,0.0,1.4,0.358,13-14
201567,1.2,3.5,0.333,1.3,2.8,0.399,13-14
2755,1.8,4.9,0.367,0.8,3.9,0.397,13-14
202338,0.0,0.2,0.154,,0.1,0.154,13-14
203114,1.3,3.1,0.411,0.3,2.7,0.43,13-14
2550,1.3,3.6,0.366,0.9,2.9,0.4,13-14
202691,1.5,4.0,0.386,0.8,3.2,0.406,13-14
977,2.3,5.5,0.424,1.3,5.0,0.455,13-14
201585,0.0,0.2,0.143,,0.1,0.143,13-14
