PLAYER_ID,SEASON
1630526,21-22
203087,21-22
1630579,21-22
1628975,21-22
202710,21-22
1629111,21-22
203925,21-22
204060,21-22
2207,21-22
1630580,21-22
1630555,21-22
203954,21-22
1628381,21-22
1629723,21-22
1630257,21-22
202685,21-22
1630228,21-22
1628395,21-22
203903,21-22
1630692,21-22
1629162,21-22
1629670,21-22
1629673,21-22
1630648,21-22
1630631,21-22
1630528,21-22
1630581,21-22
1630182,21-22
1628404,21-22
1628367,21-22
1629006,21-22
1626196,21-22
1630563,21-22
201950,21-22
1629308,21-22
1627823,21-22
203944,21-22
1626147,21-22
1630551,21-22
203200,21-22
1628382,21-22
1629620,21-22
1626159,21-22
203994,21-22
1629752,21-22
1630231,21-22
1629644,21-22
1630539,21-22
1626157,21-22
1626208,21-22
1628966,21-22
1629103,21-22
1629640,21-22
1629833,21-22
203482,21-22
1626162,21-22
202689,21-22
1629026,21-22
203145,21-22
203484,21-22
1630553,21-22
1630556,21-22
201142,21-22
1628989,21-22
1628995,21-22
201567,21-22
1630698,21-22
1629645,21-22
1626172,21-22
203920,21-22
203114,21-22
1630165,21-22
1629681,21-22
1630184,21-22
202691,21-22
1627739,21-22
204001,21-22
203937,21-22
1629657,21-22
1628398,21-22
200768,21-22
202681,21-22
200746,21-22
1630163,21-22
1630205,21-22
202362,21-22
1629013,21-22
204038,21-22
1626204,21-22
1628374,21-22
2544,21-22
1630195,21-22
1629623,21-22
1630322,21-22
1629022,21-22
1628366,21-22
101150,21-22
1629663,21-22
1629652,21-22
1629029,21-22
1630568,21-22
1628379,21-22
1628436,21-22
1630640,21-22
1630644,21-22
1630201,21-22
1627763,21-22
1630792,21-22
1627736,21-22
1630238,21-22
1628370,21-22
1629005,21-22
1629603,21-22
1630585,21-22
202694,21-22
203935,21-22
1628365,21-22
202693,21-22
1630250,21-22
1630210,21-22
1627737,21-22
1628963,21-22
1630222,21-22
203486,21-22
1629680,21-22
1629760,21-22
1630346,21-22
1629744,21-22
203090,21-22
1629622,21-22
1628467,21-22
1630593,21-22
1628982,21-22
1630695,21-22
1629008,21-22
1628969,21-22
201144,21-22
203488,21-22
1628970,21-22
1630540,21-22
1629011,21-22
1629671,21-22
1628964,21-22
1628420,21-22
1626149,21-22
1629021,21-22
1629650,21-22
1630541,21-22
1630589,21-22
1628539,21-22
1629619,21-22
1626167,21-22
1630230,21-22
1629642,21-22
1630207,21-22
1630233,21-22
1629675,21-22
1629674,21-22
202357,21-22
203457,21-22
1629651,21-22
1630208,21-22
1629638,21-22
201587,21-22
203917,21-22
203999,21-22
202696,21-22
1626181,21-22
203658,21-22
1628384,21-22
1630167,21-22
1630846,21-22
1630209,21-22
1630168,21-22
1629052,21-22
203490,21-22
200782,21-22
1629023,21-22
1628408,21-22
1628238,21-22
1627783,21-22
1626192,21-22
