PLAYER_ID,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PIE,SEASON
202322,113.0,108.8,4.2,0.45,2.58,29.5,0.021,0.094,0.058,11.4,0.482,0.541,0.153,16-17
203948,101.8,119.3,-17.5,0.125,1.0,13.3,0.113,0.152,0.13,13.3,0.55,0.582,0.08,16-17
202720,102.4,104.5,-2.0,0.088,1.68,12.8,0.049,0.156,0.1,7.6,0.518,0.551,0.1,16-17
201973,109.1,107.4,1.7,0.081,1.82,18.3,0.048,0.164,0.108,10.0,0.521,0.537,0.069,16-17
202685,111.1,109.1,2.0,0.043,0.54,5.9,0.112,0.264,0.188,11.0,0.558,0.601,0.136,16-17
1626780,96.6,114.1,-17.5,0.215,1.24,16.7,0.004,0.107,0.05,13.5,0.447,0.492,0.062,16-17
203613,105.0,96.6,8.4,0.137,1.66,18.3,0.015,0.097,0.057,11.1,0.456,0.504,0.067,16-17
203903,104.2,112.6,-8.3,0.143,1.3,14.1,0.02,0.083,0.05,10.8,0.5,0.526,0.084,16-17
202348,113.5,111.8,1.6,0.192,2.28,18.5,0.009,0.069,0.04,8.1,0.567,0.582,0.102,16-17
200770,113.7,125.4,-11.7,0.346,3.0,37.5,0.03,0.057,0.044,12.5,0.5,0.5,0.087,16-17
201941,102.2,90.1,12.1,0.0,0.0,0.0,0.182,0.122,0.151,22.2,0.385,0.432,0.015,16-17
203895,104.9,112.8,-7.9,0.083,1.36,9.6,0.015,0.088,0.052,7.1,0.447,0.488,0.059,16-17
1626175,94.6,116.6,-22.0,0.084,0.78,12.5,0.087,0.163,0.122,16.1,0.441,0.473,0.06,16-17
101181,96.1,106.1,-10.0,0.251,2.15,33.0,0.025,0.111,0.066,15.4,0.485,0.506,0.077,16-17
203962,113.2,108.8,4.4,0.115,0.0,21.4,0.118,0.139,0.129,0.0,0.636,0.612,0.137,16-17
201177,100.9,110.1,-9.2,0.2,2.17,25.6,0.058,0.139,0.097,11.8,0.428,0.439,0.071,16-17
1626196,105.2,105.3,-0.1,0.128,2.15,18.7,0.021,0.082,0.051,8.7,0.467,0.493,0.069,16-17
201950,104.3,103.7,0.7,0.355,2.52,29.6,0.02,0.092,0.057,11.8,0.51,0.532,0.121,16-17
1627823,107.9,110.1,-2.2,0.048,0.94,9.2,0.047,0.171,0.107,9.8,0.554,0.592,0.086,16-17
203944,104.2,114.0,-9.8,0.195,1.53,19.8,0.066,0.231,0.145,13.0,0.499,0.543,0.113,16-17
1626147,101.5,108.6,-7.1,0.089,1.0,10.5,0.054,0.151,0.1,10.5,0.49,0.537,0.091,16-17
203120,98.0,109.8,-11.7,0.074,1.28,11.0,0.057,0.152,0.104,8.6,0.532,0.55,0.092,16-17
202712,95.5,113.6,-18.1,0.1,0.5,11.1,0.0,0.0,0.0,22.2,0.5,0.5,0.039,16-17
203200,104.5,105.3,-0.8,0.095,1.55,13.8,0.016,0.114,0.065,8.9,0.523,0.549,0.092,16-17
1626159,102.8,103.9,-1.1,0.153,2.0,19.2,0.035,0.107,0.071,9.6,0.371,0.399,0.059,16-17
203994,106.3,107.7,-1.4,0.142,0.86,13.8,0.108,0.212,0.161,16.0,0.507,0.528,0.117,16-17
203909,103.6,107.2,-3.6,0.04,0.45,5.7,0.03,0.125,0.079,12.7,0.515,0.555,0.076,16-17
1626157,111.8,112.1,-0.3,0.127,1.04,10.5,0.101,0.247,0.173,10.1,0.576,0.618,0.17,16-17
202695,113.8,105.1,8.7,0.182,1.69,13.3,0.034,0.143,0.089,7.9,0.541,0.61,0.174,16-17
1627770,98.4,104.9,-6.5,0.261,1.93,21.5,0.008,0.092,0.052,11.1,0.415,0.462,0.079,16-17
203482,105.1,105.2,-0.1,0.159,1.54,18.4,0.046,0.181,0.113,11.9,0.579,0.603,0.11,16-17
1626162,105.3,106.0,-0.6,0.042,0.94,8.1,0.038,0.122,0.081,8.6,0.482,0.516,0.055,16-17
