PLAYER_ID,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,SEASON
203156,1.3,0.7,0.7,4.23,4.47,4.01,13-14
200756,0.4,0.2,0.2,4.1,4.13,4.07,13-14
203138,1.7,0.9,0.8,4.51,4.87,4.18,13-14
203546,0.6,0.3,0.3,4.44,4.7,4.2,13-14
101133,1.1,0.6,0.5,4.06,4.14,3.98,13-14
202697,1.9,1.0,0.9,4.3,4.38,4.23,13-14
203477,0.8,0.4,0.4,4.49,4.82,4.19,13-14
202738,2.4,1.3,1.0,4.11,4.51,3.69,13-14
202397,1.1,0.6,0.5,4.66,4.97,4.36,13-14
200826,1.3,0.8,0.6,4.34,4.87,3.78,13-14
201581,1.9,1.0,0.9,4.28,4.57,4.01,13-14
200755,2.2,1.2,1.0,4.63,5.18,4.11,13-14
2747,2.2,1.2,1.0,3.99,4.2,3.78,13-14
201580,1.0,0.5,0.5,3.93,3.97,3.89,13-14
203109,1.2,0.6,0.6,4.33,4.52,4.14,13-14
203479,0.6,0.3,0.3,4.35,4.59,4.19,13-14
2224,0.9,0.5,0.4,4.02,4.19,3.84,13-14
2037,2.0,1.1,1.0,4.05,4.39,3.73,13-14
2749,2.1,1.1,1.0,3.95,4.25,3.64,13-14
202341,2.1,1.1,1.1,4.48,4.76,4.22,13-14
201935,2.3,1.2,1.1,3.71,3.89,3.54,13-14
201949,1.3,0.7,0.6,4.28,4.51,4.04,13-14
2592,0.8,0.4,0.4,4.26,4.5,4.01,13-14
203263,1.0,0.5,0.5,4.35,4.68,4.04,13-14
203480,0.6,0.3,0.3,4.62,4.74,4.48,13-14
202686,1.1,0.6,0.5,4.54,4.84,4.24,13-14
2457,0.6,0.3,0.3,4.23,4.67,3.77,13-14
203099,0.4,0.2,0.2,4.35,4.52,4.18,13-14
201162,1.7,0.9,0.8,4.31,4.58,4.06,13-14
203096,1.8,1.0,0.9,3.95,4.14,3.77,13-14
101127,2.0,1.1,0.9,4.17,4.58,3.77,13-14
202363,1.0,0.5,0.5,4.1,4.36,3.86,13-14
2215,0.5,0.3,0.2,3.8,3.78,3.83,13-14
101131,1.0,0.5,0.5,4.22,4.45,3.96,13-14
201160,1.9,1.0,0.9,4.33,4.83,3.87,13-14
1891,1.1,0.6,0.5,4.16,4.46,3.86,13-14
201574,1.7,0.9,0.8,4.26,4.46,4.05,13-14
202399,1.2,0.6,0.6,3.97,4.13,3.8,13-14
201965,0.9,0.5,0.4,4.31,4.74,3.9,13-14
201145,2.3,1.2,1.0,4.02,4.3,3.74,13-14
201952,2.1,1.2,0.9,3.92,4.37,3.49,13-14
203481,0.9,0.5,0.4,4.39,4.71,4.06,13-14
203106,1.8,1.0,0.8,4.42,4.75,4.07,13-14
202379,1.4,0.7,0.6,4.44,4.66,4.21,13-14
203087,1.4,0.7,0.7,4.25,4.47,4.04,13-14
202391,2.1,1.1,1.0,4.31,4.71,3.95,13-14
202719,0.7,0.3,0.3,4.04,3.99,4.09,13-14
979,1.3,0.7,0.6,3.91,4.06,3.77,13-14
201573,1.6,0.9,0.7,4.1,4.41,3.77,13-14
202690,0.8,0.4,0.3,4.36,4.76,3.92,13-14
202710,2.7,1.4,1.3,4.22,4.35,4.07,13-14
201149,2.5,1.3,1.1,4.2,4.42,3.97,13-14
201975,2.4,1.2,1.2,4.4,4.63,4.19,13-14
2207,2.2,1.2,1.0,4.0,4.27,3.73,13-14
201202,0.4,0.2,0.2,4.49,4.75,4.23,13-14
200777,1.0,0.5,0.5,4.27,4.5,4.03,13-14
203089,1.8,1.0,0.9,4.13,4.35,3.91,13-14
203098,0.9,0.5,0.4,4.46,4.98,4.01,13-14
101249,1.1,0.6,0.5,4.53,4.76,4.27,13-14
2422,1.5,0.8,0.7,3.99,4.09,3.87,13-14
