PLAYER_ID,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,SEASON
200746,69.0,44.7,2.2,1.93,0.68,0.337,5.7,14.0,5.5,13-14
202362,54.9,36.4,3.3,3.64,2.82,0.252,0.6,1.1,2.4,13-14
202498,7.8,5.0,0.2,1.62,0.44,0.154,1.2,0.0,2.0,13-14
202361,14.4,9.4,0.6,2.37,1.51,0.136,0.3,0.1,0.9,13-14
202336,40.0,22.6,1.1,1.65,0.49,0.198,2.8,2.0,7.0,13-14
202730,31.5,17.6,0.8,1.46,0.26,0.148,2.3,2.1,4.4,13-14
2544,77.0,45.2,5.5,4.25,3.38,0.352,3.3,5.0,4.6,13-14
2571,26.3,15.6,1.9,4.38,4.01,0.285,0.5,0.1,0.8,13-14
203485,19.6,6.8,1.4,4.14,4.12,0.125,0.3,0.0,0.3,13-14
200811,15.4,7.1,0.4,1.53,0.42,0.13,1.2,0.2,3.1,13-14
101150,43.4,27.4,2.6,3.62,3.0,0.241,0.5,0.1,0.4,13-14
201601,16.9,11.3,0.5,1.72,0.64,0.207,0.9,0.5,1.7,13-14
2449,35.4,20.7,0.9,1.48,0.39,0.216,2.3,1.9,2.7,13-14
202337,26.8,15.3,0.8,1.86,0.62,0.235,1.1,0.1,0.7,13-14
2557,41.4,18.0,3.3,4.83,5.17,0.122,0.7,0.0,0.5,13-14
2736,52.3,42.6,1.9,2.21,1.27,0.307,1.3,2.9,2.8,13-14
203146,11.5,3.0,1.3,6.86,6.48,0.087,0.0,0.0,0.0,13-14
202952,15.5,7.1,0.4,1.6,0.4,0.121,0.9,1.4,1.3,13-14
202412,25.6,16.7,1.4,3.28,2.83,0.317,0.2,0.2,1.1,13-14
1938,43.3,31.7,2.2,3.1,2.27,0.285,1.0,0.1,1.1,13-14
202705,13.7,8.4,0.8,3.63,2.83,0.331,0.1,0.2,0.6,13-14
201188,66.2,45.4,1.9,1.76,0.43,0.22,15.2,9.6,9.0,13-14
101162,56.5,30.9,1.4,1.46,0.31,0.234,6.9,4.9,7.8,13-14
201158,38.7,28.6,1.5,2.37,1.7,0.294,0.9,0.1,1.6,13-14
202694,32.3,21.3,1.1,2.12,0.86,0.301,1.5,1.7,1.9,13-14
201977,27.7,18.6,1.2,2.68,2.13,0.347,1.1,0.2,1.3,13-14
201596,66.1,27.4,4.7,4.25,4.03,0.148,0.5,0.1,0.9,13-14
